年份,縣市,鄉鎮市區,里別,商圈分類,是否為金三角商圈,是否為東大門周邊,有效營利事業累計家數,該年新設立營利事業家數,開立統一發票店家數,發票店家佔比(%),登記資本總額(元),平均資本額(元),代表行業類別,推估年度銷售額(千元)
2018,花蓮縣,花蓮市,主學里,金三角商圈,是,否,115,5,50,43.48,173457000,1508321,麵店、小吃店,1178163.67
2018,花蓮縣,花蓮市,主安里,金三角商圈,是,否,107,4,50,46.73,270539000,2528401,麵店、小吃店,1291688.38
2018,花蓮縣,花蓮市,主工里,金三角與東大門核心交會區,是,是,94,5,43,45.74,244988000,2606255,麵店、小吃店,1125263.86
2018,花蓮縣,花蓮市,主權里,一般住宅/非核心商業區,否,否,228,8,121,53.07,370049999,1623026,麵店、小吃店,2793019.77
2018,花蓮縣,花蓮市,主睦里,一般住宅/非核心商業區,否,否,89,5,36,40.45,150640000,1692584,未分類其他家用器具及用品零售,878390.22
2018,花蓮縣,花蓮市,主義里,一般住宅/非核心商業區,否,否,31,2,13,41.94,9766000,315032,梭織服裝訂製,265005.44
2018,花蓮縣,花蓮市,主計里,金三角商圈,是,否,75,3,29,38.67,183733000,2449773,麵店、小吃店,780542.19
2018,花蓮縣,花蓮市,主農里,一般住宅/非核心商業區,否,否,146,10,77,52.74,208829900,1430341,民宿,1746204.97
2018,花蓮縣,花蓮市,國光里,一般住宅/非核心商業區,否,否,87,4,40,45.98,77430000,890000,民宿,870806.96
2018,花蓮縣,花蓮市,國威里,金三角商圈,是,否,177,14,86,48.59,492813000,2784254,麵店、小吃店,2253845.21
2018,花蓮縣,花蓮市,國安里,一般住宅/非核心商業區,否,否,104,6,56,53.85,225995000,2173028,麵店、小吃店,1356639.4
2018,花蓮縣,花蓮市,國富里,一般住宅/非核心商業區,否,否,311,16,152,48.87,382954900,1231366,麵店、小吃店,3412813.96
2018,花蓮縣,花蓮市,國強里,一般住宅/非核心商業區,否,否,68,4,45,66.18,195614000,2876676,其他汽車維修,1106540.55
2018,花蓮縣,花蓮市,國慶里,一般住宅/非核心商業區,否,否,103,8,67,65.05,2569821745,24949725,汽車零件、汽車百貨零售,4312010.85
2018,花蓮縣,花蓮市,國治里,一般住宅/非核心商業區,否,否,120,5,55,45.83,99705400,830878,麵店、小吃店,1189453.64
2018,花蓮縣,花蓮市,國盛里,一般住宅/非核心商業區,否,否,191,16,107,56.02,451451000,2363617,民宿,2615115.67
2018,花蓮縣,花蓮市,國福里,一般住宅/非核心商業區,否,否,33,0,20,60.61,23610000,715454,未分類其他家用器具及用品零售,417740.16
